data_mes,local,pm25,pm10,temp,ur,latitude,longitude
2023-01-01,Aldeia,2.87,5.229,31.338,63.859,-2.4226323188631405,-54.72130928465584
2023-02-01,Aldeia,2.815,5.8,31.807,63.736,-2.4226323188631405,-54.72130928465584
2023-03-01,Aldeia,3.111,6.03,31.962,63.776,-2.4226323188631405,-54.72130928465584
2023-04-01,Aldeia,3.442,6.72,32.288,64.121,-2.4226323188631405,-54.72130928465584
2023-05-01,Aldeia,2.872,4.886,32.869,64.336,-2.4226323188631405,-54.72130928465584
2023-06-01,Aldeia,3.479,5.494,33.146,63.039,-2.4226323188631405,-54.72130928465584
2023-07-01,Aldeia,4.909,6.867,33.742,60.502,-2.4226323188631405,-54.72130928465584
2023-08-01,Aldeia,5.638,7.548,34.854,58.575,-2.4226323188631405,-54.72130928465584
2023-09-01,Aldeia,10.983,12.222,34.666,58.922,-2.4226323188631405,-54.72130928465584
2023-10-01,Aldeia,17.293,19.031,35.587,55.655,-2.4226323188631405,-54.72130928465584
2023-11-01,Aldeia,54.464,59.366,34.893,57.448,-2.4226323188631405,-54.72130928465584
2023-12-01,Aldeia,5.399,8.092,33.428,63.177,-2.4226323188631405,-54.72130928465584
2023-01-01,Alter do Chão 1,5.673,7.299,31.134,67.549,-2.514574755905718,-54.964043186508114
2023-02-01,Alter do Chão 1,3.519,4.838,30.898,74.673,-2.514574755905718,-54.964043186508114
2023-03-01,Alter do Chão 1,4.256,9.157,30.712,77.672,-2.514574755905718,-54.964043186508114
2023-04-01,Alter do Chão 1,4.456,9.497,30.927,85.754,-2.514574755905718,-54.964043186508114
2023-05-01,Alter do Chão 1,2.372,5.84,31.01,88.723,-2.514574755905718,-54.964043186508114
2023-06-01,Alter do Chão 1,3.7085,7.877,31.2635,88.26400000000001,-2.514574755905718,-54.964043186508114
2023-07-01,Alter do Chão 1,5.045,9.914,31.517,87.805,-2.514574755905718,-54.964043186508114
2023-08-01,Alter do Chão 1,64.013,72.465,33.401,81.288,-2.514574755905718,-54.964043186508114
2023-09-01,Alter do Chão 1,10.939,15.867,33.441,81.103,-2.514574755905718,-54.964043186508114
2023-10-01,Alter do Chão 1,14.677,23.443,34.656,62.171,-2.514574755905718,-54.964043186508114
2023-11-01,Alter do Chão 1,39.519,51.92,33.077,74.36,-2.514574755905718,-54.964043186508114
2023-12-01,Alter do Chão 1,39.519,51.92,33.077,74.36,-2.514574755905718,-54.964043186508114
2023-01-01,Alter do Chão 2,3.338,11.927,28.011,87.638,-2.520012469993573,-54.932727547221575
2023-02-01,Alter do Chão 2,3.639,11.892,28.127,90.5,-2.520012469993573,-54.932727547221575
2023-03-01,Alter do Chão 2,3.375,7.42,30.04,81.672,-2.520012469993573,-54.932727547221575
2023-04-01,Alter do Chão 2,2.325,10.621,28.685,93.006,-2.520012469993573,-54.932727547221575
2023-05-01,Alter do Chão 2,2.56,5.943,31.261,88.305,-2.520012469993573,-54.932727547221575
2023-06-01,Alter do Chão 2,6.328,15.142,29.952,84.689,-2.520012469993573,-54.932727547221575
2023-07-01,Alter do Chão 2,6.598,14.063,31.178,75.628,-2.520012469993573,-54.932727547221575
2023-08-01,Alter do Chão 2,7.093,14.42,32.655,69.627,-2.520012469993573,-54.932727547221575
2023-09-01,Alter do Chão 2,9.791,18.389,33.004,67.539,-2.520012469993573,-54.932727547221575
2023-10-01,Alter do Chão 2,15.592,24.788,33.357,64.439,-2.520012469993573,-54.932727547221575
2023-11-01,Alter do Chão 2,31.483,44.777,32.004,71.834,-2.520012469993573,-54.932727547221575
2023-12-01,Alter do Chão 2,7.865,13.986,31.16,80.121,-2.520012469993573,-54.932727547221575
2023-01-01,Alter do Chão 3,2.919,6.3,31.2,67.872,-2.5097769178762386,-54.94829487116395
2023-02-01,Alter do Chão 3,2.919,6.3,31.2,67.872,-2.5097769178762386,-54.94829487116395
2023-03-01,Alter do Chão 3,2.919,6.3,31.2,67.872,-2.5097769178762386,-54.94829487116395
2023-04-01,Alter do Chão 3,7.581,16.029,30.41,71.518,-2.5097769178762386,-54.94829487116395
2023-05-01,Alter do Chão 3,2.145,5.585,30.602,74.241,-2.5097769178762386,-54.94829487116395
2023-06-01,Alter do Chão 3,2.309,5.541,31.104,70.865,-2.5097769178762386,-54.94829487116395
2023-07-01,Alter do Chão 3,5.04,9.704,31.179,69.263,-2.5097769178762386,-54.94829487116395
2023-08-01,Alter do Chão 3,5.865,11.855,31.713,71.812,-2.5097769178762386,-54.94829487116395
2023-09-01,Alter do Chão 3,13.332,17.787,29.904,72.56,-2.5097769178762386,-54.94829487116395
2023-10-01,Alter do Chão 3,31.859,36.572,32.348,61.117,-2.5097769178762386,-54.94829487116395
2023-11-01,Alter do Chão 3,42.896,49.006,32.711,61.227,-2.5097769178762386,-54.94829487116395
2023-12-01,Alter do Chão 3,7.68,11.763,31.972,66.521,-2.5097769178762386,-54.94829487116395
2023-01-01,Alter do chão 4,3.837,7.454,32.243,62.728,-2.5095886065759454,-54.9602233
2023-02-01,Alter do chão 4,2.419,5.587,32.165,63.452,-2.5095886065759454,-54.9602233
2023-03-01,Alter do chão 4,2.679,6.288,31.377,66.46,-2.5095886065759454,-54.9602233
2023-04-01,Alter do chão 4,3.358,7.677,32.424,64.81,-2.5095886065759454,-54.9602233
2023-05-01,Alter do chão 4,2.546,5.363,31.903,68.654,-2.5095886065759454,-54.9602233
2023-06-01,Alter do chão 4,3.063,5.886,31.512,68.606,-2.5095886065759454,-54.9602233
2023-07-01,Alter do chão 4,4.811,8.203,32.224,64.825,-2.5095886065759454,-54.9602233
2023-08-01,Alter do chão 4,7.845,10.749,36.237,54.009,-2.5095886065759454,-54.9602233
2023-09-01,Alter do chão 4,17.039,20.532,36.093,52.701,-2.5095886065759454,-54.9602233
2023-10-01,Alter do chão 4,18.199,20.772,35.255,53.947,-2.5095886065759454,-54.9602233
2023-11-01,Alter do chão 4,40.653,45.19,34.805,53.736,-2.5095886065759454,-54.9602233
2023-12-01,Alter do chão 4,9.668,11.905,34.169,56.985,-2.5095886065759454,-54.9602233
2023-01-01,Alvorada,4.223,10.314,31.172,66.338,-2.4536551540697453,-54.75346159153913
2023-02-01,Alvorada,3.579,7.694,30.054,72.813,-2.4536551540697453,-54.75346159153913
2023-03-01,Alvorada,5.733,11.007,29.931,72.577,-2.4536551540697453,-54.75346159153913
2023-04-01,Alvorada,4.416,11.415,30.551,79.383,-2.4536551540697453,-54.75346159153913
2023-05-01,Alvorada,4.877,9.159,30.402,75.578,-2.4536551540697453,-54.75346159153913
2023-06-01,Alvorada,6.577,13.576,30.403,75.105,-2.4536551540697453,-54.75346159153913
2023-07-01,Alvorada,10.466,21.487,31.12,72.354,-2.4536551540697453,-54.75346159153913
2023-08-01,Alvorada,11.027,23.296,32.592,69.113,-2.4536551540697453,-54.75346159153913
2023-09-01,Alvorada,10.853,21.282,33.027,69.005,-2.4536551540697453,-54.75346159153913
2023-10-01,Alvorada,17.272,25.647,33.559,65.213,-2.4536551540697453,-54.75346159153913
2023-11-01,Alvorada,44.644,56.365,33.349,66.351,-2.4536551540697453,-54.75346159153913
2023-12-01,Alvorada,9.337,18.399,32.723,72.633,-2.4536551540697453,-54.75346159153913
2023-01-01,Amparo,6.352,13.461,29.964,81.322,-2.461856399931111,-54.75169147632432
2023-02-01,Amparo,3.784,8.344,30.722,80.471,-2.461856399931111,-54.75169147632432
2023-03-01,Amparo,3.493,8.408,30.965,81.139,-2.461856399931111,-54.75169147632432
2023-04-01,Amparo,2.587,6.369,30.693,84.882,-2.461856399931111,-54.75169147632432
2023-05-01,Amparo,3.029,6.329,29.593,93.28,-2.461856399931111,-54.75169147632432
2023-06-01,Amparo,5.003,11.377,30.045,95.502,-2.461856399931111,-54.75169147632432
2023-07-01,Amparo,13.918,28.38,30.735,94.358,-2.461856399931111,-54.75169147632432
2023-08-01,Amparo,12.541,20.88,31.355,94.785,-2.461856399931111,-54.75169147632432
2023-09-01,Amparo,11.986,19.2,33.612,59.902,-2.461856399931111,-54.75169147632432
2023-10-01,Amparo,13.339,19.857,34.041,57.925,-2.461856399931111,-54.75169147632432
2023-11-01,Amparo,34.906,43.771,33.065,59.883,-2.461856399931111,-54.75169147632432
2023-12-01,Amparo,7.838,13.342,31.916,63.725,-2.461856399931111,-54.75169147632432
2023-01-01,Caranazal,3.85,9.03,30.233,73.338,-2.432640019167188,-54.73151765158936
2023-02-01,Caranazal,2.665,6.161,29.546,84.301,-2.432640019167188,-54.73151765158936
2023-03-01,Caranazal,4.718,11.322,29.904,87.731,-2.432640019167188,-54.73151765158936
2023-04-01,Caranazal,2.664,7.222,31.346,86.472,-2.432640019167188,-54.73151765158936
2023-05-01,Caranazal,4.4190000000000005,11.0045,31.5815,79.012,-2.432640019167188,-54.73151765158936
2023-06-01,Caranazal,6.174,14.787,31.817,71.552,-2.432640019167188,-54.73151765158936
2023-07-01,Caranazal,7.7,16.944,32.006,68.704,-2.432640019167188,-54.73151765158936
2023-08-01,Caranazal,4.906,11.86,32.588,68.588,-2.432640019167188,-54.73151765158936
2023-09-01,Caranazal,4.819,10.493,34.479,60.231,-2.432640019167188,-54.73151765158936
2023-10-01,Caranazal,16.997,22.969,33.841,73.767,-2.432640019167188,-54.73151765158936
2023-11-01,Caranazal,26.417,37.065,33.7,74.385,-2.432640019167188,-54.73151765158936
2023-12-01,Caranazal,9.302,17.096,32.778,71.021,-2.432640019167188,-54.73151765158936
2023-01-01,Caranazal 1,3.164,6.418,30.104,73.097,-2.4316736000000008,-54.73049061289734
2023-02-01,Caranazal 1,2.937,6.291,30.636,67.368,-2.4316736000000008,-54.73049061289734
2023-03-01,Caranazal 1,4.704,11.821,30.285,76.478,-2.4316736000000008,-54.73049061289734
2023-04-01,Caranazal 1,4.643,11.504,30.888,76.982,-2.4316736000000008,-54.73049061289734
2023-05-01,Caranazal 1,4.364,10.013,31.478,77.992,-2.4316736000000008,-54.73049061289734
2023-06-01,Caranazal 1,6.088,13.374,31.903,75.957,-2.4316736000000008,-54.73049061289734
2023-07-01,Caranazal 1,9.448,17.189,32.683,72.299,-2.4316736000000008,-54.73049061289734
2023-08-01,Caranazal 1,7.899,14.325,33.819,69.37,-2.4316736000000008,-54.73049061289734
2023-09-01,Caranazal 1,10.489,16.047,33.919,68.172,-2.4316736000000008,-54.73049061289734
2023-10-01,Caranazal 1,19.607,25.401,34.008,66.783,-2.4316736000000008,-54.73049061289734
2023-11-01,Caranazal 1,49.994,58.393,33.685,67.961,-2.4316736000000008,-54.73049061289734
2023-12-01,Caranazal 1,7.78,13.73,33.049,73.243,-2.4316736000000008,-54.73049061289734
2023-01-01,Cucurunã,4.4,10.223,31.243,66.046,-2.469406158399337,-54.77897381294246
2023-02-01,Cucurunã,3.115,6.382,30.492,70.482,-2.469406158399337,-54.77897381294246
2023-03-01,Cucurunã,5.089,10.022,30.213,72.293,-2.469406158399337,-54.77897381294246
2023-04-01,Cucurunã,5.693,10.452,30.118,72.434,-2.469406158399337,-54.77897381294246
2023-05-01,Cucurunã,4.439,7.592,30.318,74.545,-2.469406158399337,-54.77897381294246
2023-06-01,Cucurunã,3.765,7.072,30.866,72.797,-2.469406158399337,-54.77897381294246
